BARCODE,LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
10292,OPT,,78541,,AUS000863,,,1,CLARITY,4742,C3,56-18,,,,,,,,,,,,,140,35,56,,,,,,,,$149.00,,,12.5,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,31/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
7971,OPT,,78542,,AUS000296,,,1,CLARITY,4713,C6,51-17,,,,,,,,,,,,,140,32,54,,,,,,,,$149.00,,,8.75,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11963,OPT,,78543,,AUS000864,,,1,CLARITY,4802,C2,58-17,,,,,,,,,,,,,145,39,58,,,,,,,,$149.00,,,12.5,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,31/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
11239,OPT,,78544,,AUS000865,,,1,CLARITY,4767,C7,54-16,,,,,,,,,,,,,135,36,54,,,,,,,,149,,,12.5,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,31/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
14351,OPT,,78545,,ESS000163,,,1,2.5 NVG,OPH 306,BLK,48-23,,,,,,,,,,,,,145,44,48,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,31/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
4803,OPT,,78546,,ESS000164,,,1,2.5 NVG,OG 10,BLK,55-16,,,,,,,,,,,,,145,39,55,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,31/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
10294,OPT,,78547,,AUS000818,,,1,CLARITY,4850,C3,58-17,,,,,,,,,,,,,145,38,61,,,,,,,,120,,,12.15,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10393,OPT,,78548,,ESS000157,,,1,Apollo,9984,C4,46-15,,,,,,,,,,,,,125,28,45,,,,,,,,80,,,13.7,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10237,OPT,,78549,,ESS000139,,,1,2.5 NVG,OPH 305,01,57-16,,,,,,,,,,,,,145,39,61,,,,,,,,80,,,11.85,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246,OPT,,78550,,ESS000148,,,2,2.5 NVG,OPH 202,07,50-15,,,,,,,,,,,,,135,30,50,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10245,OPT,,78551,,ESS000147,,,2,2.5 NVG,OPH 311,0209,49-20,,,,,,,,,,,,,146,45,50,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10247,OPT,,78552,,ESS000149,,,2,2.5 NVG,OPH 104,05,53-16,,,,,,,,,,,,,140,32,54,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,OPT,,78553,,ESS000152,,,2,2.5 NVG,OPH 200,0606,53-17,,,,,,,,,,,,,135,34,54,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240,OPT,,78554,,ESS000142,,,2,2.5 NVG,OPH201,0205,52-16,,,,,,,,,,,,,135,37,52,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6014,OPT,,78555,,ESS000107,,,1,Apollo,6707,C36073A Brown,52-18,,,,,,,,,,,,,145,36,57,,,,,,,,80,,,12.8,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,OPT,,78556,,ESS000035,,,1,Apollo,6696,Pink,52-18,,,,,,,,,,,,,135,39,53,,,,,,,,80,,,12.8,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8720,OPT,,78557,,ESS000135,,,2,Apollo,6711,CY362S,53-16,,,,,,,,,,,,,135,41,54,,,,,,,,80,,,14.5,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,OPT,,78558,,ESS000007,,,1,Apollo,6698,Y362S,50-16,,,,,,,,,,,,,135,39,51,,,,,,,,80,,,13.94,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8719,OPT,,78559,,ESS000134,,,1,Apollo,6711,C41952,55-16,,,,,,,,,,,,,140,44,57,,,,,,,,80,,,14.5,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10241,OPT,,78560,,ESS000143,,,2,2.5 NVG,OG 30,2020,49-19,,,,,,,,,,,,,140,44,49,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7781,OPT,,78561,,000000029,,,2,Apollo,1012,62398,50-19,,,,,,,,,,,,,125,26,51,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,OPT,,78562,,ESS000109,,,1,Apollo,6704,C.Y362S,51-18,,,,,,,,,,,,,145,36,54,,,,,,,,80,,,12.8,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7663,OPT,,78563,,ESS000127,,,1,Apollo,6711,LT PINK,53-16,,,,,,,,,,,,,,41,54,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7664,OPT,,78564,,ESS000128,,,2,Apollo,9984,C4,50-15,,,,,,,,,,,,,,29,46,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
