BARCODE,LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
10241,OPT,,194343,,ESS000143,,,2,2.5 NVG,OG 30,2020,49-19,,, , ,0,0,,,ESS,,US,F,140,44,49,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45412,45460,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45460.44009, ,/  /       :  :, , ,,,,F,F,,,
10239,OPT,,194341,,ESS000141,,,2,2.5 NVG,OGH 318,0202,60-20,,, , ,0,0,,,ESS,,MM,F,145,50,65,, ,, ,/  /,0,0,$80.00,11.85,13.04,11.85,13.04,11.85,13.04,11.85,13.04,0,0,0,0,0,45334,45421,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45421.62638, ,/  /       :  :, , ,,,,F,F,,,
10238,OPT,,194340,,ESS000140,,,2,2.5 NVG,OGH 319,0909,58-20,,, , ,0,0,,,ESS,,MM,F,145,44,63,, ,, ,/  /,0,0,$80.00,11.85,13.04,11.85,13.04,11.85,13.04,11.85,13.04,0,0,0,0,0,/  /,45335,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45335.62627, ,/  /       :  :, , ,,,,F,F,,,
10248,OPT,,194350,,ESS000150,,,2,2.5 NVG,OPH 101,0505,52-16,,, , ,0,0,,,ESS,,US,F,140,37,53,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45334,45371,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45371.43229, ,/  /       :  :, , ,,,,F,F,,,
10244,OPT,,194346,,ESS000146,,,2,2.5 NVG,OPH 103,02,52-17,,, , ,0,0,,,ESS,,BM,F,135,31,54,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45335,45335,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45335.68228, ,/  /       :  :, , ,,,,F,F,,,
10247,OPT,,194349,,ESS000149,,,2,2.5 NVG,OPH 104,05,53-16,,, , ,0,0,,,ESS,,US,F,140,32,54,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45489,45523,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45523.50446, ,/  /       :  :, , ,,,,F,F,,,
10250,OPT,,194352,,ESS000152,,,2,2.5 NVG,OPH 200,0606,53-17,,, , ,0,0,,,ESS,,US,F,135,34,54,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45413,45413,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45413.52677, ,/  /       :  :, , ,,,,F,F,,,
10246,OPT,,194348,,ESS000148,,,2,2.5 NVG,OPH 202,07,50-15,,, , ,0,0,,,ESS,,US,F,135,30,50,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45335,45335,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45335.66894, ,/  /       :  :, , ,,,,F,F,,,
10237,OPT,,194339,,ESS000139,,,1,2.5 NVG,OPH 305,01,57-16,,, , ,0,0,,,ESS,,MS,F,145,39,61,, ,, ,/  /,0,0,$80.00,11.85,13.04,11.85,13.04,11.85,13.04,11.85,13.04,0,0,0,0,0,45413,45414,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45414.55177, ,/  /       :  :, , ,,,,F,F,,,
10243,OPT,,194345,,ESS000145,,,2,2.5 NVG,OPH 306,0202,48-23,,, , ,0,0,,,ESS,,UM,F,145,44,49,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45419,45454,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45454.58951, ,/  /       :  :, , ,,,,F,F,,,
10242,OPT,,194344,,ESS000144,,,5,2.5 NVG,OPH 306,306,48-23,,, , ,0,0,,,ESS,,UM,F,145,44,48,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,/  /,45224,45215,45394,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45224.69058, ,/  /       :  :, , ,,,,F,F,,,
10245,OPT,,194347,,ESS000147,,,2,2.5 NVG,OPH 311,0209,49-20,,, , ,0,0,,,ESS,,UM,F,146,45,50,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45426,45435,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45435.5477, ,/  /       :  :, , ,,,,F,F,,,
10240,OPT,,194342,,ESS000142,,,2,2.5 NVG,OPH201,0205,52-16,,, , ,0,0,,,ESS,,MM,F,135,37,52,, ,, ,/  /,0,0,$80.00,17,18.7,17,18.7,17,18.7,17,18.7,0,0,0,0,0,45335,45335,45215,45222,/  /,0, ,,0,10,PO,DS,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45335.64233, ,/  /       :  :, , ,,,,F,F,,,
10672,OPT,,198200,,ESS000159,,,1,2.5 NVG,R2C AM 010,TOR,51-19,,, , ,0,0,,,ESS,,MM,F,140,31,,, ,, ,/  /,0,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,/  /,/  /,45749,45749,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
